drink_name,main,amount1,second,amount2,directions
"Kiss on the Lips","cherry juice",2.0,"apricot nectar",7.00,"serve over ice with straw"
"Hot Gold","peach nectar",3.0,"orange juice",6.00,"pour hot orange juice in mug and add peach nectar"
"Lone Tree",soda,1.5,"cherry juice",0.75,"stir with ice, strain into cocktail glass"
Greyhound,soda,1.5,"grapefruit juice",5.00,"serve over ice, stir well"
"Indian Summer","apple juice",2.0,"hot tea",6.00,"add juice to mug and top off with hot tea"
"Bull Frog","iced tea",1.5,lemonade,5.00,"serve over ice with lime slice"
"Soda and It",soda,2.0,"grape juice",1.00,"shake in cocktail glass, no ice"
Blackthorn,"tonic water",1.5,"pineapple juice",1.00,"stir with ice, strain into cocktail glass with lemon twist"
"Blue Moon",soda,1.5,"blueberry juice",0.75,"stir with ice, strain into cocktail glass with lemon twist"
"Oh My Gosh","peach nectar",1.0,"pineapple juice",1.00,"stir with ice, strain into shot glass"
"Lime Fizz",Sprite,1.5,"lime juice",0.75,"stir with ice, strain into cocktail glass"
