name,power,weakness,city,country,arch_enemy,initials
"Super Trashman","Cleans quickly",bleach,Gotham,US,Verminator,ST
"The Broker","Makes money from nothing",,"New York",US,"Mister Taxman",TB
"Super Guy",Flies,birds,Metropolis,US,"Super Fella",SG
"Wonder Waiter","Never forgets an order",insects,Paris,France,"All You Can Eat Girl",WW
Dirtman,"Creates dust storms",bleach,Tulsa,US,Hoover,D
"Super Guy","Super strength",aluminum,Metropolis,US,Badman,SG
"Furious Woman","Gets really, really angry",,Rome,Italy,"The Therapist",FW
"The Toad","Tongue of Justice",insects,London,England,Heron,T
Librarian,"Can find anything",children,Springfield,US,"Chaos Creep",L
"Goose Girl",Flies,,Minneapolis,US,"The Quilter",GG
"Stick Man","Stands in for humans","hang man",London,England,Eraserman,SM
